Meßstelle;Meßdatum;Abstich;GW-Stand ( m NN );UTM_X;UTM_Y;Hoehe_ROK;Gelaendehoehe
AP-001;05.02.2019;1,00;75,16;32600816,45;5790858,506;76,16;76,4
AP-001;22.11.2019;1,24;74,92;32600816,45;5790858,506;76,16;76,4
AP-001;08.04.2020;1,01;75,15;32600816,45;5790858,506;76,16;76,4
AP-001;08.12.2020;1,91;74,25;32600816,45;5790858,506;76,16;76,4
AP-001;14.05.2021;0,94;75,22;32600816,45;5790858,506;76,16;76,4
AP-001;22.09.2021;1,35;74,81;32600816,45;5790858,506;76,16;76,4
AP-001;25.03.2022;0,94;75,22;32600816,45;5790858,506;76,16;76,4
AP-001;10.02.2023;0,88;75,28;32600816,45;5790858,506;76,16;76,4
AP-002;29.08.2018;1,70;71,31;32601706,61;5791540,67;73,01;73,19
AP-002;03.09.2018;1,72;71,29;32601706,61;5791540,67;73,01;73,19
AP-002;17.09.2018;1,75;71,26;32601706,61;5791540,67;73,01;73,19
AP-002;10.10.2018;1,80;71,21;32601706,61;5791540,67;73,01;73,19
AP-003;21.08.2018;2,39;71,99;32601663,83;5791365,919;74,38;74,5
AP-003;03.09.2018;2,54;71,84;32601663,83;5791365,919;74,38;74,5
AP-003;17.09.2018;2,75;71,63;32601663,83;5791365,919;74,38;74,5
AP-003;10.10.2018;2,67;71,71;32601663,83;5791365,919;74,38;74,5
AP-003;03.07.2019;2,10;72,28;32601663,83;5791365,919;74,38;74,5
AP-003;10.12.2019;1,91;72,47;32601663,83;5791365,919;74,38;74,5
AP-003;03.03.2020;0,90;73,48;32601663,83;5791365,919;74,38;74,5
AP-003;08.04.2020;1,21;73,17;32601663,83;5791365,919;74,38;74,5
AP-003;13.01.2021;1,98;72,40;32601663,83;5791365,919;74,38;74,5
AP-003;14.05.2021;1,14;73,24;32601663,83;5791365,919;74,38;74,5
AP-003;04.04.2022;1,23;73,15;32601663,83;5791365,919;74,38;74,5
AP-003;15.03.2023;1,09;73,29;32601663,83;5791365,919;74,38;74,5
AP-003;09.02.2024;0,64;73,74;32601663,83;5791365,919;74,38;74,5
AP-007;05.02.2019;0,75;82,16;32600085,89;5790719,199;82,91;83,06
AP-007;30.12.2019;0,89;82,02;32600085,89;5790719,199;82,91;83,06
AP-007;08.04.2020;0,40;82,51;32600085,89;5790719,199;82,91;83,06
AP-007;08.12.2020;1,21;81,70;32600085,89;5790719,199;82,91;83,06
AP-007;14.05.2021;0,55;82,36;32600085,89;5790719,199;82,91;83,06
AP-007;22.09.2021;1,00;81,91;32600085,89;5790719,199;82,91;83,06
AP-007;24.03.2022;0,46;82,45;32600085,89;5790719,199;82,91;83,06
AP-007;09.02.2023;0,80;82,11;32600085,89;5790719,199;82,91;83,06
AP-012;22.08.2018;1,81;71,10;32601965,84;5791564,414;72,91;73,1
AP-012;03.09.2018;1,71;71,20;32601965,84;5791564,414;72,91;73,1
AP-012;17.09.2018;1,66;71,25;32601965,84;5791564,414;72,91;73,1
AP-012;10.10.2018;1,60;71,31;32601965,84;5791564,414;72,91;73,1
AP-012;03.07.2019;1,49;71,42;32601965,84;5791564,414;72,91;73,1
AP-012;10.12.2019;1,03;71,88;32601965,84;5791564,414;72,91;73,1
AP-012;03.03.2020;0,60;72,31;32601965,84;5791564,414;72,91;73,1
AP-012;08.04.2020;0,92;71,99;32601965,84;5791564,414;72,91;73,1
AP-012;12.01.2021;0,96;71,95;32601965,84;5791564,414;72,91;73,1
AP-012;14.05.2021;0,83;72,08;32601965,84;5791564,414;72,91;73,1
AP-012;31.03.2022;0,91;72,00;32601965,84;5791564,414;72,91;73,1
AP-012;01.07.2022;1,47;71,44;32601965,84;5791564,414;72,91;73,1
AP-012;28.02.2023;0,83;72,08;32601965,84;5791564,414;72,91;73,1
AP-012;09.02.2024;0,48;72,43;32601965,84;5791564,414;72,91;73,1
AP-013;05.02.2019;1,69;75,64;32600699,84;5790845,373;77,33;77,5
AP-013;22.11.2019;2,00;75,33;32600699,84;5790845,373;77,33;77,5
AP-013;08.04.2020;1,60;75,73;32600699,84;5790845,373;77,33;77,5
AP-013;12.01.2021;1,80;75,53;32600699,84;5790845,373;77,33;77,5
AP-013;14.05.2021;1,48;75,85;32600699,84;5790845,373;77,33;77,5
AP-013;22.09.2021;2,05;75,28;32600699,84;5790845,373;77,33;77,5
AP-013;25.03.2022;1,56;75,77;32600699,84;5790845,373;77,33;77,5
AP-013;10.02.2023;1,53;75,80;32600699,84;5790845,373;77,33;77,5
AP-014;10.01.2018;1,39;72,30;32601751,24;5791562,127;73,69;73,1
AP-014;16.01.2018;1,37;72,32;32601751,24;5791562,127;73,69;73,1
AP-014;17.01.2018;1,46;72,23;32601751,24;5791562,127;73,69;73,1
AP-014;18.01.2018;1,50;72,19;32601751,24;5791562,127;73,69;73,1
AP-014;19.01.2018;1,47;72,22;32601751,24;5791562,127;73,69;73,1
AP-014;20.01.2018;1,42;72,27;32601751,24;5791562,127;73,69;73,1
AP-014;21.01.2018;1,38;72,31;32601751,24;5791562,127;73,69;73,1
AP-014;22.01.2018;1,37;72,32;32601751,24;5791562,127;73,69;73,1
AP-014;23.01.2018;1,36;72,33;32601751,24;5791562,127;73,69;73,1
AP-014;24.01.2018;1,38;72,31;32601751,24;5791562,127;73,69;73,1
AP-014;25.01.2018;1,39;72,30;32601751,24;5791562,127;73,69;73,1
AP-014;26.01.2018;1,36;72,33;32601751,24;5791562,127;73,69;73,1
AP-014;27.01.2018;1,37;72,32;32601751,24;5791562,127;73,69;73,1
AP-014;28.01.2018;1,39;72,30;32601751,24;5791562,127;73,69;73,1
AP-014;30.01.2018;1,40;72,29;32601751,24;5791562,127;73,69;73,1
AP-014;31.01.2018;1,38;72,31;32601751,24;5791562,127;73,69;73,1
AP-014;01.02.2018;1,37;72,32;32601751,24;5791562,127;73,69;73,1
AP-014;02.02.2018;1,40;72,29;32601751,24;5791562,127;73,69;73,1
AP-014;03.02.2018;1,42;72,27;32601751,24;5791562,127;73,69;73,1
AP-014;04.02.2018;1,44;72,25;32601751,24;5791562,127;73,69;73,1
AP-014;07.02.2018;1,46;72,23;32601751,24;5791562,127;73,69;73,1
AP-014;08.02.2018;1,47;72,22;32601751,24;5791562,127;73,69;73,1
AP-014;09.02.2018;1,48;72,21;32601751,24;5791562,127;73,69;73,1
AP-014;10.02.2018;1,49;72,20;32601751,24;5791562,127;73,69;73,1
AP-014;11.02.2018;1,48;72,21;32601751,24;5791562,127;73,69;73,1
AP-014;12.02.2018;1,49;72,20;32601751,24;5791562,127;73,69;73,1
AP-014;14.02.2018;1,50;72,19;32601751,24;5791562,127;73,69;73,1
AP-014;16.02.2018;1,51;72,18;32601751,24;5791562,127;73,69;73,1
AP-014;17.02.2018;1,50;72,19;32601751,24;5791562,127;73,69;73,1
AP-014;20.02.2018;1,51;72,18;32601751,24;5791562,127;73,69;73,1
AP-014;21.02.2018;1,52;72,17;32601751,24;5791562,127;73,69;73,1
AP-014;22.02.2018;1,53;72,16;32601751,24;5791562,127;73,69;73,1
AP-014;24.02.2018;1,54;72,15;32601751,24;5791562,127;73,69;73,1
AP-014;25.02.2018;1,55;72,14;32601751,24;5791562,127;73,69;73,1
AP-014;26.02.2018;1,56;72,13;32601751,24;5791562,127;73,69;73,1
AP-014;28.02.2018;1,58;72,11;32601751,24;5791562,127;73,69;73,1
AP-014;02.03.2018;1,59;72,10;32601751,24;5791562,127;73,69;73,1
AP-014;03.03.2018;1,60;72,09;32601751,24;5791562,127;73,69;73,1
AP-014;04.03.2018;1,61;72,08;32601751,24;5791562,127;73,69;73,1
AP-014;05.03.2018;1,60;72,09;32601751,24;5791562,127;73,69;73,1
AP-014;06.03.2018;1,58;72,11;32601751,24;5791562,127;73,69;73,1
AP-014;08.03.2018;1,57;72,12;32601751,24;5791562,127;73,69;73,1
AP-014;09.03.2018;1,56;72,13;32601751,24;5791562,127;73,69;73,1
AP-014;10.03.2018;1,53;72,16;32601751,24;5791562,127;73,69;73,1
AP-014;11.03.2018;1,50;72,19;32601751,24;5791562,127;73,69;73,1
AP-014;12.03.2018;1,47;72,22;32601751,24;5791562,127;73,69;73,1
AP-014;13.03.2018;1,43;72,26;32601751,24;5791562,127;73,69;73,1
AP-014;14.03.2018;1,47;72,22;32601751,24;5791562,127;73,69;73,1
AP-014;15.03.2018;1,48;72,21;32601751,24;5791562,127;73,69;73,1
AP-014;16.03.2018;1,50;72,19;32601751,24;5791562,127;73,69;73,1
AP-014;17.03.2018;1,49;72,20;32601751,24;5791562,127;73,69;73,1
AP-014;18.03.2018;1,51;72,18;32601751,24;5791562,127;73,69;73,1
AP-014;19.03.2018;1,53;72,16;32601751,24;5791562,127;73,69;73,1
AP-014;20.03.2018;1,54;72,15;32601751,24;5791562,127;73,69;73,1
AP-014;22.03.2018;1,52;72,17;32601751,24;5791562,127;73,69;73,1
AP-014;23.03.2018;1,50;72,19;32601751,24;5791562,127;73,69;73,1
AP-014;24.03.2018;1,51;72,18;32601751,24;5791562,127;73,69;73,1
AP-014;25.03.2018;1,53;72,16;32601751,24;5791562,127;73,69;73,1
AP-014;26.03.2018;1,55;72,14;32601751,24;5791562,127;73,69;73,1
AP-014;28.03.2018;1,54;72,15;32601751,24;5791562,127;73,69;73,1
AP-014;29.03.2018;1,50;72,19;32601751,24;5791562,127;73,69;73,1
AP-014;30.03.2018;1,49;72,20;32601751,24;5791562,127;73,69;73,1
AP-014;02.04.2018;1,51;72,18;32601751,24;5791562,127;73,69;73,1
AP-014;03.04.2018;1,52;72,17;32601751,24;5791562,127;73,69;73,1
AP-014;04.04.2018;1,53;72,16;32601751,24;5791562,127;73,69;73,1
AP-014;05.04.2018;1,54;72,15;32601751,24;5791562,127;73,69;73,1
AP-014;06.04.2018;1,56;72,13;32601751,24;5791562,127;73,69;73,1
AP-014;08.04.2018;1,57;72,12;32601751,24;5791562,127;73,69;73,1
AP-014;10.04.2018;1,58;72,11;32601751,24;5791562,127;73,69;73,1
AP-014;11.04.2018;1,59;72,10;32601751,24;5791562,127;73,69;73,1
AP-014;12.04.2018;1,52;72,17;32601751,24;5791562,127;73,69;73,1
AP-014;13.04.2018;1,51;72,18;32601751,24;5791562,127;73,69;73,1
AP-014;14.04.2018;1,50;72,19;32601751,24;5791562,127;73,69;73,1
AP-014;15.04.2018;1,51;72,18;32601751,24;5791562,127;73,69;73,1
AP-014;16.04.2018;1,52;72,17;32601751,24;5791562,127;73,69;73,1
AP-014;17.04.2018;1,54;72,15;32601751,24;5791562,127;73,69;73,1
AP-014;18.04.2018;1,56;72,13;32601751,24;5791562,127;73,69;73,1
AP-014;19.04.2018;1,57;72,12;32601751,24;5791562,127;73,69;73,1
AP-014;20.04.2018;1,58;72,11;32601751,24;5791562,127;73,69;73,1
AP-014;21.04.2018;1,60;72,09;32601751,24;5791562,127;73,69;73,1
AP-014;22.04.2018;1,61;72,08;32601751,24;5791562,127;73,69;73,1
AP-014;24.04.2018;1,62;72,07;32601751,24;5791562,127;73,69;73,1
AP-014;26.04.2018;1,60;72,09;32601751,24;5791562,127;73,69;73,1
AP-014;27.04.2018;1,56;72,13;32601751,24;5791562,127;73,69;73,1
AP-014;28.04.2018;1,58;72,11;32601751,24;5791562,127;73,69;73,1
AP-014;29.04.2018;1,60;72,09;32601751,24;5791562,127;73,69;73,1
AP-014;30.04.2018;1,62;72,07;32601751,24;5791562,127;73,69;73,1
AP-014;01.05.2018;1,65;72,04;32601751,24;5791562,127;73,69;73,1
AP-014;02.05.2018;1,66;72,03;32601751,24;5791562,127;73,69;73,1
AP-014;03.05.2018;1,68;72,01;32601751,24;5791562,127;73,69;73,1
AP-014;04.05.2018;1,69;72,00;32601751,24;5791562,127;73,69;73,1
AP-014;05.05.2018;1,70;71,99;32601751,24;5791562,127;73,69;73,1
AP-014;06.05.2018;1,71;71,98;32601751,24;5791562,127;73,69;73,1
AP-014;07.05.2018;1,72;71,97;32601751,24;5791562,127;73,69;73,1
AP-014;08.05.2018;1,73;71,96;32601751,24;5791562,127;73,69;73,1
AP-014;09.05.2018;1,75;71,94;32601751,24;5791562,127;73,69;73,1
AP-014;10.05.2018;1,76;71,93;32601751,24;5791562,127;73,69;73,1
AP-014;11.05.2018;1,77;71,92;32601751,24;5791562,127;73,69;73,1
AP-014;13.05.2018;1,78;71,91;32601751,24;5791562,127;73,69;73,1
AP-014;14.05.2018;1,81;71,88;32601751,24;5791562,127;73,69;73,1
AP-014;15.05.2018;1,83;71,86;32601751,24;5791562,127;73,69;73,1
AP-014;16.05.2018;1,80;71,89;32601751,24;5791562,127;73,69;73,1
AP-014;17.05.2018;1,79;71,90;32601751,24;5791562,127;73,69;73,1
AP-014;18.05.2018;1,80;71,89;32601751,24;5791562,127;73,69;73,1
AP-014;20.05.2018;1,83;71,86;32601751,24;5791562,127;73,69;73,1
AP-014;21.05.2018;1,85;71,84;32601751,24;5791562,127;73,69;73,1
AP-014;22.05.2018;1,87;71,82;32601751,24;5791562,127;73,69;73,1
AP-014;23.05.2018;1,90;71,79;32601751,24;5791562,127;73,69;73,1
AP-014;24.05.2018;1,92;71,77;32601751,24;5791562,127;73,69;73,1
AP-014;25.05.2018;1,94;71,75;32601751,24;5791562,127;73,69;73,1
AP-014;26.05.2018;1,96;71,73;32601751,24;5791562,127;73,69;73,1
AP-014;27.05.2018;1,98;71,71;32601751,24;5791562,127;73,69;73,1
AP-014;28.05.2018;1,99;71,70;32601751,24;5791562,127;73,69;73,1
AP-014;29.05.2018;2,01;71,68;32601751,24;5791562,127;73,69;73,1
AP-014;31.05.2018;2,00;71,69;32601751,24;5791562,127;73,69;73,1
AP-014;01.06.2018;2,01;71,68;32601751,24;5791562,127;73,69;73,1
AP-014;03.06.2018;2,02;71,67;32601751,24;5791562,127;73,69;73,1
AP-014;04.06.2018;2,04;71,65;32601751,24;5791562,127;73,69;73,1
AP-014;05.06.2018;2,06;71,63;32601751,24;5791562,127;73,69;73,1
AP-014;06.06.2018;2,08;71,61;32601751,24;5791562,127;73,69;73,1
AP-014;07.06.2018;2,11;71,58;32601751,24;5791562,127;73,69;73,1
AP-014;09.06.2018;2,13;71,56;32601751,24;5791562,127;73,69;73,1
AP-014;10.06.2018;2,14;71,55;32601751,24;5791562,127;73,69;73,1
AP-014;11.06.2018;2,15;71,54;32601751,24;5791562,127;73,69;73,1
AP-014;12.06.2018;2,16;71,53;32601751,24;5791562,127;73,69;73,1
AP-014;13.06.2018;2,17;71,52;32601751,24;5791562,127;73,69;73,1
AP-014;15.06.2018;2,18;71,51;32601751,24;5791562,127;73,69;73,1
AP-014;16.06.2018;2,19;71,50;32601751,24;5791562,127;73,69;73,1
AP-014;17.06.2018;2,21;71,48;32601751,24;5791562,127;73,69;73,1
AP-014;18.06.2018;2,22;71,47;32601751,24;5791562,127;73,69;73,1
AP-014;19.06.2018;2,23;71,46;32601751,24;5791562,127;73,69;73,1
AP-014;21.06.2018;2,24;71,45;32601751,24;5791562,127;73,69;73,1
AP-014;22.06.2018;2,25;71,44;32601751,24;5791562,127;73,69;73,1
AP-014;24.06.2018;2,26;71,43;32601751,24;5791562,127;73,69;73,1
AP-014;27.06.2018;2,28;71,41;32601751,24;5791562,127;73,69;73,1
AP-014;29.06.2018;2,30;71,39;32601751,24;5791562,127;73,69;73,1
AP-014;30.06.2018;2,31;71,38;32601751,24;5791562,127;73,69;73,1
AP-014;01.07.2018;2,32;71,37;32601751,24;5791562,127;73,69;73,1
AP-014;02.07.2018;2,33;71,36;32601751,24;5791562,127;73,69;73,1
AP-014;03.07.2018;2,34;71,35;32601751,24;5791562,127;73,69;73,1
AP-014;04.07.2018;2,35;71,34;32601751,24;5791562,127;73,69;73,1
AP-014;05.07.2018;2,36;71,33;32601751,24;5791562,127;73,69;73,1
AP-014;06.07.2018;2,37;71,32;32601751,24;5791562,127;73,69;73,1
AP-014;07.07.2018;2,38;71,31;32601751,24;5791562,127;73,69;73,1
AP-014;08.07.2018;2,39;71,30;32601751,24;5791562,127;73,69;73,1
AP-014;10.07.2018;2,40;71,29;32601751,24;5791562,127;73,69;73,1
AP-014;13.07.2018;2,41;71,28;32601751,24;5791562,127;73,69;73,1
AP-014;14.07.2018;2,42;71,27;32601751,24;5791562,127;73,69;73,1
AP-014;16.07.2018;2,43;71,26;32601751,24;5791562,127;73,69;73,1
AP-014;17.07.2018;2,44;71,25;32601751,24;5791562,127;73,69;73,1
AP-014;18.07.2018;2,45;71,24;32601751,24;5791562,127;73,69;73,1
AP-014;19.07.2018;2,46;71,23;32601751,24;5791562,127;73,69;73,1
AP-014;21.07.2018;2,47;71,22;32601751,24;5791562,127;73,69;73,1
AP-014;22.07.2018;2,48;71,21;32601751,24;5791562,127;73,69;73,1
AP-014;24.07.2018;2,49;71,20;32601751,24;5791562,127;73,69;73,1
AP-014;25.07.2018;2,50;71,19;32601751,24;5791562,127;73,69;73,1
AP-014;27.07.2018;2,51;71,18;32601751,24;5791562,127;73,69;73,1
AP-014;29.07.2018;2,43;71,26;32601751,24;5791562,127;73,69;73,1
AP-014;30.07.2018;2,42;71,27;32601751,24;5791562,127;73,69;73,1
AP-014;31.07.2018;2,45;71,24;32601751,24;5791562,127;73,69;73,1
AP-014;01.08.2018;2,47;71,22;32601751,24;5791562,127;73,69;73,1
AP-014;02.08.2018;2,49;71,20;32601751,24;5791562,127;73,69;73,1
AP-014;03.08.2018;2,50;71,19;32601751,24;5791562,127;73,69;73,1
AP-014;04.08.2018;2,51;71,18;32601751,24;5791562,127;73,69;73,1
AP-014;05.08.2018;2,52;71,17;32601751,24;5791562,127;73,69;73,1
AP-014;06.08.2018;2,53;71,16;32601751,24;5791562,127;73,69;73,1
AP-014;07.08.2018;2,54;71,15;32601751,24;5791562,127;73,69;73,1
AP-014;08.08.2018;2,55;71,14;32601751,24;5791562,127;73,69;73,1
AP-014;09.08.2018;2,56;71,13;32601751,24;5791562,127;73,69;73,1
AP-014;10.08.2018;2,54;71,15;32601751,24;5791562,127;73,69;73,1
AP-014;11.08.2018;2,53;71,16;32601751,24;5791562,127;73,69;73,1
AP-014;12.08.2018;2,54;71,15;32601751,24;5791562,127;73,69;73,1
AP-014;13.08.2018;2,56;71,13;32601751,24;5791562,127;73,69;73,1
AP-014;15.08.2018;2,53;71,16;32601751,24;5791562,127;73,69;73,1
AP-014;16.08.2018;2,54;71,15;32601751,24;5791562,127;73,69;73,1
AP-014;17.08.2018;2,55;71,14;32601751,24;5791562,127;73,69;73,1
AP-014;18.08.2018;2,56;71,13;32601751,24;5791562,127;73,69;73,1
AP-014;19.08.2018;2,57;71,12;32601751,24;5791562,127;73,69;73,1
AP-014;20.08.2018;2,58;71,11;32601751,24;5791562,127;73,69;73,1
AP-014;21.08.2018;2,59;71,10;32601751,24;5791562,127;73,69;73,1
AP-014;22.08.2018;2,60;71,09;32601751,24;5791562,127;73,69;73,1
AP-014;24.08.2018;2,61;71,08;32601751,24;5791562,127;73,69;73,1
AP-014;27.08.2018;2,62;71,07;32601751,24;5791562,127;73,69;73,1
AP-014;29.08.2018;2,63;71,06;32601751,24;5791562,127;73,69;73,1
AP-014;02.09.2018;2,64;71,05;32601751,24;5791562,127;73,69;73,1
AP-014;03.09.2018;2,64;71,05;32601751,24;5791562,127;73,69;73,1
AP-014;04.09.2018;2,65;71,04;32601751,24;5791562,127;73,69;73,1
AP-014;07.09.2018;2,66;71,03;32601751,24;5791562,127;73,69;73,1
AP-014;10.09.2018;2,67;71,02;32601751,24;5791562,127;73,69;73,1
AP-014;12.09.2018;2,68;71,01;32601751,24;5791562,127;73,69;73,1
AP-014;13.09.2018;2,66;71,03;32601751,24;5791562,127;73,69;73,1
AP-014;14.09.2018;2,62;71,07;32601751,24;5791562,127;73,69;73,1
AP-014;15.09.2018;2,61;71,08;32601751,24;5791562,127;73,69;73,1
AP-014;17.09.2018;2,63;71,06;32601751,24;5791562,127;73,69;73,1
AP-014;18.09.2018;2,64;71,05;32601751,24;5791562,127;73,69;73,1
AP-014;19.09.2018;2,66;71,03;32601751,24;5791562,127;73,69;73,1
AP-014;20.09.2018;2,67;71,02;32601751,24;5791562,127;73,69;73,1
AP-014;21.09.2018;2,68;71,01;32601751,24;5791562,127;73,69;73,1
AP-014;23.09.2018;2,66;71,03;32601751,24;5791562,127;73,69;73,1
AP-014;24.09.2018;2,60;71,09;32601751,24;5791562,127;73,69;73,1
AP-014;25.09.2018;2,56;71,13;32601751,24;5791562,127;73,69;73,1
AP-014;28.09.2018;2,57;71,12;32601751,24;5791562,127;73,69;73,1
AP-014;29.09.2018;2,58;71,11;32601751,24;5791562,127;73,69;73,1
AP-014;01.10.2018;2,59;71,10;32601751,24;5791562,127;73,69;73,1
AP-014;02.10.2018;2,56;71,13;32601751,24;5791562,127;73,69;73,1
AP-014;03.10.2018;2,55;71,14;32601751,24;5791562,127;73,69;73,1
AP-014;05.10.2018;2,56;71,13;32601751,24;5791562,127;73,69;73,1
AP-014;06.10.2018;2,57;71,12;32601751,24;5791562,127;73,69;73,1
AP-014;07.10.2018;2,60;71,09;32601751,24;5791562,127;73,69;73,1
AP-014;08.10.2018;2,61;71,08;32601751,24;5791562,127;73,69;73,1
AP-014;10.10.2018;2,61;71,08;32601751,24;5791562,127;73,69;73,1
AP-014;11.10.2018;2,62;71,07;32601751,24;5791562,127;73,69;73,1
AP-014;12.10.2018;2,63;71,06;32601751,24;5791562,127;73,69;73,1
AP-014;13.10.2018;2,64;71,05;32601751,24;5791562,127;73,69;73,1
AP-014;14.10.2018;2,66;71,03;32601751,24;5791562,127;73,69;73,1
AP-014;15.10.2018;2,67;71,02;32601751,24;5791562,127;73,69;73,1
AP-014;16.10.2018;2,68;71,01;32601751,24;5791562,127;73,69;73,1
AP-014;17.10.2018;2,69;71,00;32601751,24;5791562,127;73,69;73,1
AP-014;19.10.2018;2,70;70,99;32601751,24;5791562,127;73,69;73,1
AP-014;21.10.2018;2,71;70,98;32601751,24;5791562,127;73,69;73,1
AP-014;23.10.2018;2,70;70,99;32601751,24;5791562,127;73,69;73,1
AP-014;24.10.2018;2,67;71,02;32601751,24;5791562,127;73,69;73,1
AP-014;25.10.2018;2,62;71,07;32601751,24;5791562,127;73,69;73,1
AP-014;26.10.2018;2,60;71,09;32601751,24;5791562,127;73,69;73,1
AP-014;29.10.2018;2,60;71,09;32601751,24;5791562,127;73,69;73,1
AP-014;31.10.2018;2,62;71,07;32601751,24;5791562,127;73,69;73,1
AP-014;02.11.2018;2,63;71,06;32601751,24;5791562,127;73,69;73,1
AP-014;05.11.2018;2,62;71,07;32601751,24;5791562,127;73,69;73,1
AP-014;09.11.2018;2,60;71,09;32601751,24;5791562,127;73,69;73,1
AP-014;10.11.2018;2,59;71,10;32601751,24;5791562,127;73,69;73,1
AP-014;12.11.2018;2,57;71,12;32601751,24;5791562,127;73,69;73,1
AP-014;13.11.2018;2,55;71,14;32601751,24;5791562,127;73,69;73,1
AP-014;14.11.2018;2,52;71,17;32601751,24;5791562,127;73,69;73,1
AP-014;15.11.2018;2,51;71,18;32601751,24;5791562,127;73,69;73,1
AP-014;16.11.2018;2,50;71,19;32601751,24;5791562,127;73,69;73,1
AP-014;19.11.2018;2,49;71,20;32601751,24;5791562,127;73,69;73,1
AP-014;20.11.2018;2,48;71,21;32601751,24;5791562,127;73,69;73,1
AP-014;23.11.2018;2,47;71,22;32601751,24;5791562,127;73,69;73,1
AP-014;25.11.2018;2,46;71,23;32601751,24;5791562,127;73,69;73,1
AP-014;26.11.2018;2,45;71,24;32601751,24;5791562,127;73,69;73,1
AP-014;28.11.2018;2,44;71,25;32601751,24;5791562,127;73,69;73,1
AP-014;30.11.2018;2,43;71,26;32601751,24;5791562,127;73,69;73,1
AP-014;02.12.2018;2,42;71,27;32601751,24;5791562,127;73,69;73,1
AP-014;03.12.2018;2,39;71,30;32601751,24;5791562,127;73,69;73,1
AP-014;04.12.2018;2,38;71,31;32601751,24;5791562,127;73,69;73,1
AP-014;05.12.2018;2,37;71,32;32601751,24;5791562,127;73,69;73,1
AP-014;06.12.2018;2,36;71,33;32601751,24;5791562,127;73,69;73,1
AP-014;07.12.2018;2,35;71,34;32601751,24;5791562,127;73,69;73,1
AP-014;08.12.2018;2,34;71,35;32601751,24;5791562,127;73,69;73,1
AP-014;09.12.2018;2,32;71,37;32601751,24;5791562,127;73,69;73,1
AP-014;10.12.2018;2,30;71,39;32601751,24;5791562,127;73,69;73,1
AP-014;11.12.2018;2,29;71,40;32601751,24;5791562,127;73,69;73,1
AP-014;16.12.2018;2,28;71,41;32601751,24;5791562,127;73,69;73,1
AP-014;17.12.2018;2,29;71,40;32601751,24;5791562,127;73,69;73,1
AP-014;18.12.2018;2,28;71,41;32601751,24;5791562,127;73,69;73,1
AP-014;20.12.2018;2,27;71,42;32601751,24;5791562,127;73,69;73,1
AP-014;21.12.2018;2,26;71,43;32601751,24;5791562,127;73,69;73,1
AP-014;22.12.2018;2,22;71,47;32601751,24;5791562,127;73,69;73,1
AP-014;23.12.2018;2,17;71,52;32601751,24;5791562,127;73,69;73,1
AP-014;24.12.2018;2,14;71,55;32601751,24;5791562,127;73,69;73,1
AP-014;25.12.2018;2,13;71,56;32601751,24;5791562,127;73,69;73,1
AP-014;26.12.2018;2,12;71,57;32601751,24;5791562,127;73,69;73,1
AP-014;28.12.2018;2,11;71,58;32601751,24;5791562,127;73,69;73,1
AP-014;29.12.2018;2,10;71,59;32601751,24;5791562,127;73,69;73,1
AP-014;30.12.2018;2,07;71,62;32601751,24;5791562,127;73,69;73,1
AP-014;31.12.2018;2,06;71,63;32601751,24;5791562,127;73,69;73,1
AP-014;01.01.2019;2,04;71,65;32601751,24;5791562,127;73,69;73,1
AP-014;02.01.2019;2,04;71,65;32601751,24;5791562,127;73,69;73,1
AP-014;03.01.2019;2,03;71,66;32601751,24;5791562,127;73,69;73,1
AP-014;05.01.2019;2,00;71,69;32601751,24;5791562,127;73,69;73,1
AP-014;06.01.2019;1,98;71,71;32601751,24;5791562,127;73,69;73,1
AP-014;07.01.2019;1,95;71,74;32601751,24;5791562,127;73,69;73,1
AP-014;08.01.2019;1,87;71,82;32601751,24;5791562,127;73,69;73,1
AP-014;09.01.2019;1,81;71,88;32601751,24;5791562,127;73,69;73,1
AP-014;10.01.2019;1,80;71,89;32601751,24;5791562,127;73,69;73,1
AP-014;11.01.2019;1,77;71,92;32601751,24;5791562,127;73,69;73,1
AP-014;12.01.2019;1,75;71,94;32601751,24;5791562,127;73,69;73,1
AP-014;13.01.2019;1,71;71,98;32601751,24;5791562,127;73,69;73,1
AP-014;14.01.2019;1,67;72,02;32601751,24;5791562,127;73,69;73,1
AP-014;18.01.2019;1,69;72,00;32601751,24;5791562,127;73,69;73,1
AP-014;19.01.2019;1,68;72,01;32601751,24;5791562,127;73,69;73,1
AP-014;20.01.2019;1,70;71,99;32601751,24;5791562,127;73,69;73,1
AP-014;21.01.2019;1,72;71,97;32601751,24;5791562,127;73,69;73,1
AP-014;23.01.2019;1,74;71,95;32601751,24;5791562,127;73,69;73,1
AP-014;24.01.2019;1,77;71,92;32601751,24;5791562,127;73,69;73,1
AP-014;25.01.2019;1,78;71,91;32601751,24;5791562,127;73,69;73,1
AP-014;26.01.2019;1,72;71,97;32601751,24;5791562,127;73,69;73,1
AP-014;27.01.2019;1,62;72,07;32601751,24;5791562,127;73,69;73,1
AP-014;28.01.2019;1,61;72,08;32601751,24;5791562,127;73,69;73,1
AP-014;29.01.2019;1,60;72,09;32601751,24;5791562,127;73,69;73,1
AP-014;31.01.2019;1,61;72,08;32601751,24;5791562,127;73,69;73,1
AP-014;01.02.2019;1,62;72,07;32601751,24;5791562,127;73,69;73,1
AP-014;02.02.2019;1,65;72,04;32601751,24;5791562,127;73,69;73,1
