_time,location,Temperature_°C,WaterContent_%vol
2023-08-07 17:47:34+00:00,depth_cm_30,19.699001,18.349
2023-08-07 18:47:18+00:00,depth_cm_30,19.709002,18.33
2023-08-07 19:45:56+00:00,depth_cm_30,19.679,18.320002
2023-08-07 20:45:48+00:00,depth_cm_30,19.69,18.309
2023-08-07 21:45:44+00:00,depth_cm_30,19.629002,18.300001
2023-08-07 22:45:38+00:00,depth_cm_30,19.550001,18.269001
2023-08-07 23:45:38+00:00,depth_cm_30,19.479,18.259
2023-08-08 00:45:44+00:00,depth_cm_30,19.429,18.240002
2023-08-08 01:47:01+00:00,depth_cm_30,19.300001,18.220001
2023-08-08 02:45:31+00:00,depth_cm_30,19.199001,18.209002
2023-08-08 03:45:35+00:00,depth_cm_30,19.099,18.19
2023-08-08 04:45:29+00:00,depth_cm_30,19.0,18.169
2023-08-08 05:45:29+00:00,depth_cm_30,18.900002,18.140001
2023-08-08 06:45:23+00:00,depth_cm_30,18.769001,18.109001
2023-08-08 07:45:22+00:00,depth_cm_30,18.69,18.070002
2023-08-08 08:45:32+00:00,depth_cm_30,18.589,18.029001
2023-08-08 09:45:26+00:00,depth_cm_30,18.570002,17.990002
2023-08-08 10:45:26+00:00,depth_cm_30,18.570002,17.94
2023-08-08 11:45:21+00:00,depth_cm_30,18.570002,17.890001
2023-08-08 12:45:27+00:00,depth_cm_30,18.629002,17.83
2023-08-08 13:45:29+00:00,depth_cm_30,18.740002,17.769001
2023-08-08 14:45:18+00:00,depth_cm_30,18.839,17.720001
2023-08-08 15:45:28+00:00,depth_cm_30,19.009,17.669
2023-08-08 16:46:59+00:00,depth_cm_30,19.109001,17.619001
2023-08-08 17:46:53+00:00,depth_cm_30,19.199001,17.559
2023-08-08 18:45:15+00:00,depth_cm_30,19.25,17.519001
2023-08-08 19:45:15+00:00,depth_cm_30,19.29,17.5
2023-08-08 20:45:24+00:00,depth_cm_30,19.349,17.449001
2023-08-08 21:47:01+00:00,depth_cm_30,19.359001,17.419
2023-08-08 22:46:41+00:00,depth_cm_30,19.309,17.369001
2023-08-08 23:45:07+00:00,depth_cm_30,19.320002,17.33
2023-08-09 00:45:01+00:00,depth_cm_30,19.229,17.300001
2023-08-09 01:45:01+00:00,depth_cm_30,19.169,17.269001
2023-08-09 02:45:10+00:00,depth_cm_30,19.099,17.240002
2023-08-09 03:45:00+00:00,depth_cm_30,19.050001,17.209002
2023-08-09 04:45:14+00:00,depth_cm_30,18.979,17.169
2023-08-09 05:44:58+00:00,depth_cm_30,18.859001,17.150002
2023-08-09 06:46:30+00:00,depth_cm_30,18.809,17.119001
2023-08-09 07:44:52+00:00,depth_cm_30,18.699001,17.089
2023-08-09 08:46:28+00:00,depth_cm_30,18.629002,17.029001
2023-08-09 09:45:07+00:00,depth_cm_30,18.589,17.009
2023-08-09 10:45:15+00:00,depth_cm_30,18.559,16.949001
2023-08-09 11:44:49+00:00,depth_cm_30,18.550001,16.900002
2023-08-09 12:44:43+00:00,depth_cm_30,18.619001,16.849
