time_vektor,d_15cm,d_30cm,d_50cm,d_100cm,d_200cm
2023-10-13 07:19:58+00:00,14.859001,14.950001,15.209001,15.050001,14.629001
2023-10-13 08:19:51+00:00,14.89,15.02,15.179001,15.050001,14.650001
2023-10-13 09:19:44+00:00,15.02,15.02,15.200001,15.040001,14.6
2023-10-13 10:21:12+00:00,15.129001,15.040001,15.160001,15.050001,14.580001
2023-10-13 11:21:21+00:00,15.35,15.120001,15.160001,15.050001,14.629001
2023-10-13 12:19:38+00:00,15.620001,15.129001,15.160001,15.030001,14.609001
2023-10-13 13:19:39+00:00,15.840001,15.229001,15.190001,15.02,14.629001
2023-10-13 14:19:59+00:00,16.04,15.410001,15.160001,15.02,14.609001
2023-10-13 15:19:36+00:00,16.179,15.500001,15.179001,15.02,14.6
2023-10-13 16:19:36+00:00,16.269001,15.629001,15.229001,15.02,14.580001
2023-10-13 17:19:45+00:00,16.339,15.700001,15.250001,15.02,14.620001
2023-10-13 18:21:07+00:00,16.33,15.77,15.300001,15.009001,14.580001
2023-10-13 19:19:39+00:00,16.339,15.820001,15.309001,15.009001,14.590001
2023-10-13 20:19:28+00:00,16.339,15.900001,15.359001,15.009001,14.590001
2023-10-13 21:21:00+00:00,16.379002,15.950001,15.379001,15.009001,14.620001
2023-10-13 22:19:32+00:00,16.349,15.929001,15.429001,15.000001,14.590001
2023-10-13 23:19:32+00:00,16.33,15.990001,15.479001,15.000001,14.609001
2023-10-14 00:19:21+00:00,16.320002,16.009,15.479001,15.000001,14.6
2023-10-14 01:19:25+00:00,16.269001,16.019001,15.550001,15.000001,14.580001
2023-10-14 02:19:35+00:00,16.229,16.019001,15.550001,15.009001,14.620001
2023-10-14 03:19:29+00:00,16.16,16.009,15.590001,15.009001,14.609001
2023-10-14 04:19:18+00:00,16.050001,15.979001,15.550001,15.000001,14.6
2023-10-14 05:19:22+00:00,15.89,16.019001,15.590001,15.000001,14.590001
2023-10-14 06:19:16+00:00,15.700001,15.940001,15.64,15.02,14.559001
2023-10-14 07:19:16+00:00,15.52,15.879001,15.679001,15.02,14.620001
2023-10-14 08:19:10+00:00,15.420001,15.800001,15.620001,15.02,14.590001
2023-10-14 09:19:20+00:00,15.309001,15.690001,15.660001,15.02,14.580001
2023-10-14 10:20:57+00:00,15.410001,15.650001,15.620001,15.02,14.590001
2023-10-14 11:20:41+00:00,15.410001,15.590001,15.629001,15.030001,14.620001
2023-10-14 12:20:50+00:00,15.450001,15.590001,15.590001,15.040001,14.609001
2023-10-14 13:19:07+00:00,15.340001,15.570001,15.559001,15.040001,14.629001
2023-10-14 14:19:12+00:00,15.160001,15.52,15.550001,15.050001,14.590001
2023-10-14 15:19:06+00:00,15.040001,15.479001,15.530001,15.040001,14.590001
2023-10-14 16:19:13+00:00,14.840001,15.39,15.52,15.050001,14.620001
2023-10-14 17:19:05+00:00,14.700001,15.320001,15.509001,15.050001,14.6
2023-10-14 18:18:59+00:00,14.540001,15.200001,15.479001,15.050001,14.580001
2023-10-14 19:20:35+00:00,14.35,15.129001,15.459001,15.059001,14.6
2023-10-14 20:19:03+00:00,14.129001,15.02,15.410001,15.050001,14.6
2023-10-14 21:19:03+00:00,13.910001,14.879001,15.379001,15.059001,14.590001
2023-10-14 22:19:02+00:00,13.729001,14.780001,15.340001,15.059001,14.570001
2023-10-14 23:18:55+00:00,13.590001,14.660001,15.27,15.050001,14.590001
2023-10-15 00:18:55+00:00,13.400001,14.540001,15.209001,15.050001,14.550001
2023-10-15 01:19:04+00:00,13.22,14.410001,15.160001,15.050001,14.570001
2023-10-15 02:18:53+00:00,13.09,14.27,15.090001,15.050001,14.580001
2023-10-15 03:18:48+00:00,12.870001,14.14,15.050001,15.040001,14.570001
2023-10-15 04:18:57+00:00,12.740001,14.02,14.979001,15.040001,14.570001
2023-10-15 05:18:47+00:00,12.59,13.920001,14.879001,15.030001,14.570001
2023-10-15 06:18:51+00:00,12.490001,13.8,14.840001,15.030001,14.550001
2023-10-15 07:20:25+00:00,12.379001,13.670001,14.77,15.02,14.590001
2023-10-15 08:18:55+00:00,12.320001,13.590001,14.690001,15.009001,14.550001
2023-10-15 09:18:44+00:00,12.299001,13.450001,14.6,15.000001,14.580001
2023-10-15 10:18:38+00:00,12.299001,13.39,14.540001,14.990001,14.550001
2023-10-15 11:18:43+00:00,12.34,13.330001,14.450001,14.990001,14.550001
2023-10-15 12:18:42+00:00,12.299001,13.280001,14.400001,14.97,14.540001
2023-10-15 13:18:31+00:00,12.2300005,13.229001,14.340001,14.959001,14.590001
2023-10-15 14:18:41+00:00,12.14,13.190001,14.300001,14.940001,14.570001
2023-10-15 15:18:35+00:00,12.099001,13.129001,14.240001,14.929001,14.590001
2023-10-15 16:18:47+00:00,12.009001,13.080001,14.160001,14.920001,14.550001
2023-10-15 17:18:30+00:00,11.940001,12.959001,14.129001,14.89,14.530001
2023-10-15 18:18:33+00:00,11.830001,12.920001,14.05,14.879001,14.550001
2023-10-15 19:18:32+00:00,11.690001,12.84,14.009001,14.859001,14.559001
2023-10-15 20:18:27+00:00,11.570001,12.77,13.950001,14.840001,14.570001
2023-10-15 21:18:31+00:00,11.410001,12.690001,13.900001,14.830001,14.540001
2023-10-15 22:18:20+00:00,11.299001,12.549001,13.830001,14.809001,14.570001
2023-10-15 23:18:30+00:00,11.18,12.459001,13.77,14.790001,14.52
2023-10-16 00:18:34+00:00,11.040001,12.39,13.700001,14.780001,14.559001
2023-10-16 01:18:23+00:00,10.910001,12.299001,13.679001,14.750001,14.580001
2023-10-16 02:18:18+00:00,10.84,12.190001,13.570001,14.729001,14.550001
2023-10-16 03:18:22+00:00,10.7300005,12.120001,13.530001,14.709001,14.550001
2023-10-16 04:18:22+00:00,10.610001,12.02,13.479001,14.700001,14.550001
2023-10-16 05:19:53+00:00,10.530001,11.940001,13.410001,14.679001,14.550001
2023-10-16 06:18:10+00:00,10.450001,11.830001,13.309001,14.660001,14.550001
2023-10-16 07:18:14+00:00,10.379001,11.7300005,13.229001,14.629001,14.590001
2023-10-16 08:18:09+00:00,10.379001,11.64,13.22,14.609001,14.550001
2023-10-16 09:18:08+00:00,10.490001,11.629001,13.129001,14.580001,14.540001
2023-10-16 10:18:04+00:00,10.580001,11.59,13.080001,14.559001,14.550001
2023-10-16 11:18:02+00:00,10.700001,11.59,12.979001,14.550001,14.559001
2023-10-16 12:18:06+00:00,10.84,11.59,12.940001,14.52,14.509001
2023-10-16 13:18:16+00:00,10.9800005,11.620001,12.870001,14.500001,14.52
2023-10-16 14:18:10+00:00,11.059001,11.669001,12.879001,14.479001,14.52
2023-10-16 15:18:05+00:00,11.099001,11.660001,12.85,14.450001,14.550001
2023-10-16 16:18:03+00:00,11.150001,11.709001,12.77,14.429001,14.550001
2023-10-16 17:19:50+00:00,11.110001,11.750001,12.790001,14.400001,14.550001
2023-10-16 18:17:52+00:00,11.049001,11.72,12.77,14.379001,14.550001
2023-10-16 19:18:02+00:00,11.030001,11.709001,12.750001,14.359,14.52
2023-10-16 20:18:01+00:00,10.9800005,11.700001,12.700001,14.340001,14.530001
2023-10-16 21:18:06+00:00,10.84,11.669001,12.700001,14.320001,14.550001
2023-10-16 22:17:51+00:00,10.7300005,11.620001,12.709001,14.290001,14.52
2023-10-16 23:17:59+00:00,10.599001,11.580001,12.660001,14.27,14.530001
2023-10-17 00:17:48+00:00,10.47,11.530001,12.629001,14.240001,14.509001
2023-10-17 01:17:47+00:00,10.330001,11.450001,12.59,14.240001,14.530001
2023-10-17 02:17:53+00:00,10.239,11.379001,12.620001,14.209001,14.550001
2023-10-17 03:17:52+00:00,10.139001,11.320001,12.549001,14.190001,14.530001
2023-10-17 04:17:51+00:00,10.089001,11.2300005,12.52,14.170001,14.52
2023-10-17 05:17:51+00:00,10.049001,11.160001,12.4800005,14.150001,14.52
2023-10-17 06:17:49+00:00,9.950001,11.120001,12.43,14.14,14.500001
2023-10-17 07:17:47+00:00,9.910001,11.030001,12.39,14.120001,14.530001
2023-10-17 08:17:38+00:00,9.820001,10.959001,12.379001,14.090001,14.550001
2023-10-17 09:17:43+00:00,9.820001,10.940001,12.299001,14.070001,14.540001
2023-10-17 10:17:44+00:00,9.860001,10.900001,12.250001,14.05,14.500001
2023-10-17 11:17:31+00:00,9.959001,10.860001,12.22,14.040001,14.500001
2023-10-17 12:17:46+00:00,10.049001,10.900001,12.200001,14.02,14.509001
2023-10-17 13:17:31+00:00,10.189,10.910001,12.14,13.990001,14.479001
2023-10-17 14:17:57+00:00,10.290001,10.910001,12.09,13.979001,14.500001
2023-10-17 15:17:28+00:00,10.34,10.950001,12.080001,13.950001,14.52
2023-10-17 16:17:28+00:00,10.34,10.950001,12.059001,13.929001,14.479001
2023-10-17 17:17:34+00:00,10.39,11.02,11.990001,13.910001,14.540001
2023-10-17 18:17:31+00:00,10.349001,11.000001,12.02,13.89,14.479001
2023-10-17 19:17:31+00:00,10.209001,11.000001,11.959001,13.870001,14.490001
2023-10-17 20:17:35+00:00,10.110001,10.950001,11.97,13.859,14.490001
2023-10-17 21:17:30+00:00,9.929001,10.900001,12.000001,13.830001,14.52
2023-10-17 22:17:29+00:00,9.77,10.860001,11.959001,13.809001,14.500001
2023-10-17 23:17:23+00:00,9.620001,10.799001,11.97,13.790001,14.490001
2023-10-18 00:17:26+00:00,9.479,10.669001,11.93,13.77,14.490001
2023-10-18 01:17:27+00:00,9.290001,10.620001,11.900001,13.759001,14.459001
2023-10-18 02:17:22+00:00,9.129001,10.52,11.84,13.740001,14.459001
2023-10-18 03:17:21+00:00,8.959001,10.39,11.790001,13.729001,14.450001
2023-10-18 04:17:21+00:00,8.77,10.27,11.750001,13.709001,14.490001
2023-10-18 05:17:15+00:00,8.620001,10.209001,11.759001,13.690001,14.479001
2023-10-18 06:17:14+00:00,8.52,10.089001,11.68,13.670001,14.479001
2023-10-18 07:17:08+00:00,8.400001,10.0,11.59,13.650001,14.440001
2023-10-18 08:17:23+00:00,8.339001,9.879001,11.52,13.629001,14.479001
2023-10-18 09:17:07+00:00,8.410001,9.830001,11.450001,13.609,14.450001
2023-10-18 10:17:01+00:00,8.599,9.77,11.410001,13.6,14.450001
2023-10-18 11:18:44+00:00,8.839001,9.709001,11.370001,13.580001,14.450001
2023-10-18 12:17:05+00:00,9.04,9.799001,11.309001,13.55,14.440001
2023-10-18 13:17:09+00:00,9.110001,9.820001,11.259001,13.530001,14.450001
2023-10-18 14:16:59+00:00,9.25,9.879001,11.2300005,13.52,14.450001
2023-10-18 15:16:58+00:00,9.290001,9.929001,11.18,13.490001,14.450001
2023-10-18 16:18:34+00:00,9.309,9.979,11.190001,13.47,14.429001
2023-10-18 17:17:01+00:00,9.320001,9.979,11.160001,13.450001,14.440001
2023-10-18 18:16:56+00:00,9.259001,9.979,11.150001,13.420001,14.450001
2023-10-18 19:16:55+00:00,9.279,10.009001,11.150001,13.410001,14.429001
2023-10-18 20:17:00+00:00,9.200001,9.989,11.14,13.39,14.410001
2023-10-18 21:16:59+00:00,9.200001,9.989,11.099001,13.359,14.410001
2023-10-18 22:16:49+00:00,9.129001,9.979,11.110001,13.340001,14.410001
2023-10-18 23:16:53+00:00,9.089001,9.939,11.099001,13.309001,14.429001
2023-10-19 00:16:52+00:00,9.029,9.939,11.09,13.290001,14.39
2023-10-19 01:16:47+00:00,9.049001,9.910001,11.059001,13.27,14.410001
2023-10-19 02:16:45+00:00,9.009001,9.910001,11.049001,13.250001,14.410001
2023-10-19 03:16:52+00:00,8.979,9.849001,11.040001,13.240001,14.379001
2023-10-19 04:18:21+00:00,8.900001,9.839001,11.02,13.22,14.410001
2023-10-19 05:16:44+00:00,8.870001,9.790001,11.030001,13.209001,14.400001
